,Instrument,Strings & Courses,Tuning(s),Alternative Names,Origin,Notes,Picture,StandardTuning
123,Fiddle,4 strings 4 courses,Standard/common: G3 D4 A4 E5 Alternates:  Cajun: F3 C4 G4 D5 Open G: G3 D4 G4 B4 Sawmill: G3 D4 G4 D5 Gee-dad: G3 D4 A4 D5 Open D: D3 D4 A4 D5 High bass: A3 D4 A4 E5 Cross tuning: A3 E4 A4 E5 Calico: A3 E4 A4 C#5,"Violin, Kit, Pochette","Europe, USA","""Fiddle"" describes a playing style more than a unique instrument; a fiddle is just a violin with a slightly different ""set-up"". Standard AKA ""Italian"" or ""orchestral"" tuning, High Bass AKA ""Old-time D tuning"", Cross tuning AKA ""High counter"", Calico AKA ""Black Mountain Rag"" or the Swedish tunings: Trollstämning, or Näckastämning",,G3:D4:A4:E5
124,Gabusi,6 strings 4 courses,D g bb dd,Gaboussi,Comoros Islands,,,
125,Gadulka,3 strings 3 courses,A3 E3 A4,,The Balkans,"3 playing strings, with up to 10 sympathetic strings.",,A3:E3:A4
126,Gaoyinruan,4 strings 4 courses,G3 D4 G4 D5,Soprano Ruan,China,"Literally ""high pitched Ruan""",,G3:D4:G4:D5
127,Gehu,4 strings 4 courses,C2 G2 D3 A3,"Erhu-cello,",China,Same tunings as cello,,C2:G2:D3:A3
128,Gekkin,4 strings 2 courses,C3 C3 G3 G3 [*],Gekin,Japan,* Tuning is not western equal temperament,,
129,Gekkin,4 strings 4 courses,A3 D4 D4 D5,Japanese Yueqin,Japan,,,A3:D4:D4:D5
130,Geyerleier,8 strings 4 courses,Standard/Common: E3 E2•B3 B2•E3 E3•B3 B3 Alternate:  D3 D2•A3 A2•D3 D3•A3 A3,,"Hamburg, Germany",,,E3:E2:B3:B2:E3:E3:B3:B3
131,Grajappi,4 strings 2 courses,F2 F2 • B2 B2,"Krachappi, Krachap pi",Thailand,,,F2:F2:B2:B2
132,Guitalele,6 strings 6 courses,Standard/Common: A2 D3 G3 C4 E4 A4 Alternate:  B2 E3 A3 D4 F#4 B4,Ukutar,"US, Japan",Tuned a 4th or a 5th higher than the standard guitar.,,A2:D3:G3:C4:E4:A4
133,Guitar,6 strings 6 courses,Standard: E2 A2 D3 G3 B3 E4 Common Alternates:  Drop D: D2 A2 D3 G3 B3 E4 Open D: D2 A2 D3 F#3 A3 D4 Open G: D2 G2 D2 G2 B3 D4 Open A: E2 A2 E3 A3 C#4 E4 Lute: E2 A2 D3 F#3 B3 E4 Irish: D2 A2 D3 G3 A3 D4 Nashville: E3 A3 D4 G4 B3 E4,"Classical guitar, 6-string guitar, Spanish guitar, Steel-string guitar",Spain (acoustic) USA (electric),"""classical"" = guitar with gut, nylon, or other synthetic strings; ""acoustic""/""steel-string"" = guitar with metal strings; Open G AKA ""bottleneck,"" ""taro patch""; Open A AKA ""Spanish""; ""Lute tuing"" is usually capoed on 3rd fret to give G2 C3 F3 A3 D4 G4, and E2 is often dropped to D2 (F2 with capo). There are hundreds of alternate guitar tunings; whole books have been written on the subject.[13]",Classical Guitar:  Steel String Guitar:  Electric Guitar:,E2:A2:D3:G3:B3:E4
134,"Guitar, Alto",11 strings 11 courses,Bb1 C2 D2 Eb2 F2 G2 C3 F3 Bb3 D4 G4,"Archguitar, altgitarren, Bolin guitar",Sweden,,,
135,"Guitar, Alto",13 strings 13 courses,A1 Bb1 C2 D2 E2 F2 G2 A2 D3 F3 A3 D4 F4,"Archguitar, altgitarren, Bolin guitar",Sweden,This instrument is very rare.,,
136,"Guitar, Alto (Niibori)",6 strings 6 courses,Standard/Common: B2 E3 A3 D4 F#4 B4,G Guitar,Japan,"Transposing guitar in the key of G, developed for the Niibori Guitar Orchestra",,B2:E3:A3:D4
137,"Guitar, 7 string",7 strings 7 courses,Standard/Common: B1 E2 A2 D3 G3 B3 E4 Alternate:  Van Eps: A1 E2 A2 D3 G3 B3 E4 Choro: C2 E2 A2 D3 G3 B3 E4,"7 string classical guitar, ""Brazilian"" guitar, 7 string electric guitar",US,"Van Eps AKA ""Jazz tuning"" ""Choro"" is popular in Brazil 6-string alternates may be adapted for the 7-string",,B1:E2:A2:D3:G3:B3:E4
138,"Guitar, 8 string (low/high)",8 strings 8 courses,B1 E2 A2 D3 G3 B3 E4 A4,8 string classical guitar,Spain,"AKA ""Galbraith tuning""",,B1:E2:A2:D3:G3:B3:E4:A4
139,"Guitar, 8 string (added basses)",8 strings 8 courses,[B1 D2] E2 A2 D3 G3 B3 E4,8 string classical guitar 8 string electric guitar,Spain,Tuning of two lowest strings varies with player and music,,
140,"Guitar, 9 string",9 strings 6 courses,E3 E2•A3 A2•D4 D3•G3 B3 E4,,US,12-string guitar variant with doubled bases,,E3:E2:A3:A2:D4:D3:G3:B3:E4
141,"Guitar, 9 string",9 strings 6 courses,E2• A2• D3• G4 G3•B3 B3•E4 E4,,US,12-string guitar variant with doubled trebles,,E2:A2:D3:G4:G3:B3:B3:E4:E4
142,"Guitar, 9 string",9 strings 9 courses,F#1 B1 E2 A2 D3 G3 B3 E4 A4 [*],,US,"* These short-scale, extended range instruments are uncommon, and tuning hasn't really been standardized for them.",,
143,"Guitar, 10 string",10 strings 10 courses,F#2 G#2 A#2 C2 E2 A2 D3 G3 B3 E4,10 String classical guitar,Spain,"Standard tuning, developed by luthier José Ramírez III in collaboration with guitarist Narciso Yepes",,C2:E2:A2:D3:G3:B3:E4
144,"Guitar, 12 string",12 strings 6 courses,Standard/Common: E3 E2•A3 A2•D4 D3•G4 G3•B3 B3•E4 E4 Alternates:  Variant: E4 E2•A3 A2•D4 D3•G4 G3•B3 B3•E4 E4  All 6-string alternates may be adapted to 12-string.,Twelve-stringed Guitar,US?,Some players tune the third course to unison G3's to minimize breakage of the high G string.,,E3:E2:A3:A2:D4:D3:G4:G3:B3:B3:E4:E4
145,"Guitar, baritone",6 strings 6 courses,Common tunings:  4th lower: B1 E2 A2 D3 F#3 B3 5th lower: A1 D2 G2 C3 E3 A3 Octave lower: E1 A1 D2 G2 B2 E3,,US,"There really is no ""standard"" tuning for baritone guitar; choice of tuning depends on instrument, stringing, and player's preferences.",,
146,"Guitar, bass",4 strings 4 courses,Standard/Common: E1 A1 D2 G2 Alternates:  D1 A1 D2 G2 D1 G1 C2 F2,"Bass, electric bass, 4-string bass, Fender bass",USA,"First U.S. patent filed by Leo Fender on November 21, 1952.",Electric Bass:  Acoustic Bass:,E1:A1:D2:G2
147,"Guitar, bass (5-string)",5 strings 5 courses,Standard/Common:  B0 E1 A1 D2 G2 E1 A1 D2 G2 C3,"Bass, electric bass, 5-string bass",,Essentially a 4-string bass with one added high or low string. Choice of tuning depends whether the added string is low or high.,,B0:E1:A1:D2:G2:E1:A1:D2:G2
148,"Guitar, bass (6-string)",6 strings 6 courses,Standard/Common: B0 E1 A1 D2 G2 C3 Alternate: E1 A1 D2 G2 B2 E3,"Bass, electric bass, 6-string bass, Contrabass Guitar",,Essentially a 4-string bass with either added high and low strings.,,B0:E1:A1:D2:G2:C3
149,"Guitar, bass (8-string)",8 strings 4 courses,E2 E1•A2 A1•D3 D2•G3 G2,"Eight-string bass guitar, 8-string bass",US,Essentially a 4-string bass with each string doubled at the upper octave.,,E2:E1:A2:A1:D3:D2:G3:G2
150,"Guitar, bass (12-string)",12 strings 4 courses,E2 E2 E1•A2 A2 A1•D3 D3 D2•G3 G3 G2,"Twelve-string bass guitar, 12-string bass",US,Similar to an 8-string bass with doubled upper octaves.,,E2:E2:E1:A2:A2:A1:D3:D3:D2:G3:G3:G2
151,"Guitar, octave",6 strings 6 courses,E3•A3•D4•G4•B4•E5,"Piccolo Guitar, Soprano Guitar",Germany,One octave higher than the standard guitar.,,E3:A3:D4:G4:B4:E5
152,Guitarra De Golpe,5 strings 5 courses,Standard/Common: D3•G3•C4•E3•A3 Alternates:  Tecalitan: D3•G3•B4•E3•A3 Urbana: G3•C4•E4•A3•D4 Urbana alt.: G3•C4•E3•A3•D4,"Guitarra Colorada, Quinta De Golpe, Mariachera",Mexico,Note re-entrant tunings,,D3:G3:C4:E3:A3
153,Lute guitar,6 strings 6 courses,Standard/Common: E2•A2•D3•G3•B3•E4 Alternates are the same as the Guitar,"Guitarren laute, Guitar-lute, Lute-guitar",Germany,Basically this is a lute-shaped guitar; a guitar neck on a lute body.,,E2:A2:D3:G3:B3:E4
154,Guitarro,6 strings 6 courses,B4 F#4 D5 A5 E5,"Guitarrico, Spanish Tiple",Spain,,,B4:D5:A5:E5
155,Guitarrón,6 strings 6 courses,A1 D2 G2 C3 E3 A2,Guitarrón de Toloche,Mexico,,,A1:D2:G2:C3:E3:A2
156,Guitarron Argentino,6 strings 6courses,B1 E2 A2 D3 G3 B3,,Argentina,A 6-string acoustic bass guitar.,,B1:E2:A2:D3:G3:B3
157,Guitarrón chileno,"24 or 25 strings total 5 courses + 4 open ""diablitos""","diablitos, top: F#5 A4 (D4) D4 D3 D3 D2 • (G4) G4 G4 G4 G3 G3 • (C4) C4 C4 C3 C2 • E4 E4 E4 • A4 A4 A4 diablitos, bottom: G4 B4",,Chile,"4 short, unfretted strings are known as diablitos (little devils). Number of strings in 3rd, 4th, & 5th courses may vary.",,
158,"Guitar, tenor",4 strings 4 courses,C3 • G3 • D4 • A4,,US,"Same tuning as tenor banjo, mandola.",,C3:G3:D4:A4
159,"Guitar, terz",6 strings 6 courses,G2 C3 F3 Bb3 D4 G4,"Tertz Guitar, Tierce Guitar, Third Guitar","Italy, Germany",A minor third higher than standard guitar tuning.,,
160,Guqin,7 strings 7 courses,sol la do re mi sol la,,China,"Guqin music uses no absolute pitch so tuning varies. The common Zheng Diao tuning sets ""do"" to approx. ""F3"" and tunes other strings relative to that to give C3 D3 F3 G3 A3 C4 D4",,
161,Gusli,9 strings 9 courses,Standard/Common: E3 A3 B3 C4 D4 E4 F4 G4 A4,Крыловидные гусли,Russia,Tuning varies; this is a common traditional tuning,,E3:A3:B3:C4:D4:E4:F4:G4
162,Halszither,9 strings 5 courses,G2 • D3 D3 • G3 G3 • B3 B3 • D4 D4,Krienser Halszither,Switzerland,,,G2:D3:D3:G3:G3:B3:B3:D4:D4
163,Hardingfele,4 strings 4 courses plus 4-5 resonating strings,Standard/Common: A3 D4 A4 E5 res. strings: (B3) D4 E4 F#4 A4 Common alternates:  Kolagutstille: A3 C4 A4 E5  res.: (A3) D4 E4 G4 A4  Seljekvatstille: A3 D4 F#4 E5  res.: (B3) D4 E4 F#4 A4  Trollstilt: A3 E4 A4 C#5  res.: (A3) C#4 E4 F#4 A4  Forstemt: A3 E4 A4 E5  res.: (A3) C#4 E4 F#4 A4  Gorrlaus: F3 D4 A4 E5  res.: (F3) B3 D4 G4 A4  Bas: G3 D4 A4 E5  res.: (B3) D4 E4 G4 A4,"Hardanger violin, Hardanger fiddle",Norway,"Standard AKA ""Oppstilt bas"" : More than 80% of music written for this instrument uses this tuning. Trollstilt AKA  ""Devil's Tuning""  Bas AKA ""Violin tuning""  There are many other variant tunings, most of them uncommon.",,A3:D4:A4:E5
164,"Harp, Concert",47 strings 47 courses,Cb1 Db1 Eb1 Fb1 Gb1 Ab1 Bb1 [ . . . ] * Cb7 Db7 Eb7 Fb7 Gb7,"Pedal Harp, Double-action Harp, Diatonic Double-action Harp",France,* Only lowest and highest octaves shown. Tuning proceeds through 6-1/2 octaves using the Cb diatonic scale,,
165,"Harp, Celtic",34 strings 34 courses[*],C2 D2 E2 F2 G2 A2 B2 [ . . . ] * C6 D6 E6 F6 G6 A6,"Clàrsach, Folk Harp, Lever Harp",British Isles,"* Number of strings varies, generally between 19-40; 34 strings is typical. Not all models have levers. Only lowest and highest octaves shown. Tuning proceeds through 4-1/2 octaves using the C diatonic scale.",,
166,Harpsichord,Varies[*],[*]Typical: C2 C#2 D2 D#2 E2 F2 F#2 G2 G#2 A2 A#2 B2 [...] * C#6 D6 D#6 E6 F6 F#6 G6 G#6 A6 A#6 B6 C7,"Virginal, Spinet, Clavicytherium, Ottavino, Pedal Harpsichord, et al",Europe (Belgium?),"Many variants exist having differing number of keys, multiple keyboards, pedal boards, choirs of strings, etc., and they may have anywhere from about 120 to many hundreds of strings. Tuning is given for a typical single-keyboard, 5-octave instrument, for the main choir of strings. Only lowest and highest octaves are shown; intervening notes are tuned chromatically. Often tuning is in some musical temperament other than 12-tone equal temperament (common on modern pianos).",,
167,Harzither,8 strings 4 courses,GG • CC • EE • GG,Bergzither,Germany,,,
168,Huapanguera,8 strings 5 courses,G2 •D3 D4•G3 G3•B3 B3•E3,,Mexico,,,G2:D3:D4:G3:G3:B3:B3:E3
169,Huobosi,4 strings 4 courses,E2 A2 D3 G3,"Hubo, Sugudu",China,,,E2:A2:D3:G3
170,Hurdy Gurdy,5 or 6 strings 5 courses,Traditional: (G4)G4 C4 G3 C3 C2 Alternates:  Altered Traditional:  (G4)G4 C4 G3 C3 G2  Bourbonnais:  (D5)D4 D4 G3 D3 D2  Altered Bourbonnais:  (D5)D4 D4 A3 D3 G2  Vendée:  (A5)A5 D4 A3 D3 D2,"Beggar’s lyre, Crank lyre, Cymphan, Forgolant, Organistrum, Symphonia, Wheel fiddle, Wheel vielle",France,"Stringing is given in reverse order, owing to the orientation of the instrument while playing. The first one (or two) strings are melody strings; others are drone strings. Other regional tuning variants exist.",,
171,Ichigenkin,1 string 1 course,no standard [*],,Japan,[*] string is tuned to any note convenient for the vocalist,,
172,Igil,2 strings 2 courses,(E • B),Ikili,"Tuva, Mongolia","Pitch varies depending what other instruments the Igil is playing with, but the two strings are always tuned a 5th apart.",,
173,Irish bouzouki,8 strings 4 courses,Standard/Common: G3 G2•D4 D3•A3 A3•E4 E4 Alternates:  Mandolin:  G2 G2•D3 D3•A3 A3•E4 E4  Irish:  G3 G2•D4 D3•A3 A3•D4 D4  Modal D:  A3 A2•D4 D3•A3 A3•D4 D4,"Bouzouki, Octave Mandolin, Tenor Mandolin (US), Tenor Mandola (UK), Zouk",Ireland,"Irish bouzouki is an octave mandolin with the two lowest courses tuned in octaves instead of unisons. ""Modal D"" octaves can also be tuned in unisons.",,G3:G2:D4:D3:A3:A3:E4:E4
174,Jarana huasteca,5 strings 5 courses,G3 • B3 • D4 • F#4 • A4,,Mexico,,,G3:B3:D4:A4
175,Jarana jarocha,8 strings 5 courses,"Modern or ""Commercial""  A3 • D4 D4 • G3 G4 • B3 B3 • E4  Traditional  G3•C4 C4•E3 E3•A3 A3•G4",,Mexico,"Part of their name usually describes their size, for example: Jarana Chaquiste, Jarana Primera, Jarana Segunda, Jarana Tercera, Jarana Tercerola Where octave doublings occur will often differ depending on the size of the instrument. The larger instruments commonly double the middle courses at the octave.",,
176,Jarana Jarocha Requinto,4 strings 4 courses,Standard/Common: G2•A2•D2•G3 Alternates:  C2•D2•G2•C3 C2•D2•G3•C3 A2•D3•G3•C3,"Jarocha Requinto, Requinto Jarocha, Guitarra De Son",Mexico,,,G2:A2:D2:G3
177,Jarana Leona,4 strings 4 courses,G2•A2•D3•G3,,Mexico,,,G2:A2:D3:G3
178,Jouhikko,3 strings 3 courses,D A E,Jouhikannel,Finland,Absolute pitch is not fixed on this instrument,,
179,Kabosy,6 strings 4 courses,G • G • B B • D D,,Madagascar,,,
180,Kacapi,6 strings 3 courses,A#• B •C# •F• F#,,Indonesia,Uses a gamelan pelog scale. Tuning is approximated to western notation.,,
181,Kamancheh,4 strings 4 courses,D5•A5•D4•A4,,"Iran, Armenia, Azerbaijan, Uzbekistan, Turkmenistan",,,D5:A5:D4:A4
182,Khonkhota,8 strings 5 courses [*],G4 G3•C4•D4 D3•A3•D4 D4,"Qonqhota, Ponputu, Mokholos, Machus",South America,"Strings/courses are usually 8/5 but 7/5, 9/5, 10/5 or 11/5 variations exist.",,G4:G3:C4:D4:D3:A3:D4:D4
183,Kithara Sarda,6 strings 6 courses,B2 E2 A2 D3 F3 B3,,"Sardinia, Italy.",,,B2:E2:A2:D3:F3:B3
184,Kobza,8 strings 4 courses,Standard/Common: GG • DD • GG • CC Alternate: DD • AA • DD • GG,"Kobuz, Kobsa","Moldavia, Romania, Hungary",,,
185,Kokles,11 strings 11 courses,G3 A3 C3 D3 E3 F3 G4 A4 B4 C4 G3 A3 C3 D3 E3 F3 G4 A4 B♭4 C4,"Kokle, Kūkles, Kūkle",Latvia,Since the 1980s the most common tunings for 11-stringed kokles among kokles players.,,G3:A3:C3:D3:E3:F3:G4:A4:B4:C4:G3:A3:C3:D3:E3:F3:G4:A4:B4:C4
186,Komuz,3 strings 3 courses,A E A,"Qomuz, Gopuz, Kopuz, Kopus",Kyrgyzstan,,,
187,Kora,21 strings 21 courses,Traditional Tunings:  Tomora Ba/Silaba: F2 C3 D3 E3 F3 G3 A3 B3 C4 D4 E4 F4 G4 A4 B4 C5 D5 E5 F5 G5 A5 Tomora Mesengo: F2 C3 +D3 +Eb3 F3 G3 +A3 +Bb3 C4 +D4 +Eb4 F4 G4 +A4 +Bb4 C5 +D5 +Eb5 F5 G5 +A5 Hardino: F2 C3 -D3 +E3 F3 G3 -A3 +B3 C4 -D4 +E4 F4 G4 -A4 +B4 C5 -D5 +E5 F5 G5 -A5 Sauta: F#2 C3 D3 E3 F#3 G3 A3 B3 C4 D4 E4 F#4 G4 A4 B4 C5 D5 E5 F#5 G5 A5,,West Africa,"Scales roughly correspond to Western major, minor, and lydian scales, but are not in equal temperament. Any of the scales may be considered ""standard"".",,
188,Koto,13 strings 13 courses,Traditional tunings:  Itsikotchu-chô:  D4 D4 A3 B3 D4 E4 F#4 A4 B4 D5 E5 F#5 A5  Oshiki-chô:  E4 A3 B3 D4 E3 F#3 A3 B3 C#4 E4 F#4 A4 B4  Sui-chô:  E4 A3 B3 C#4 E3 F#3 A3 B3 C#4 E4 F#4 A4 B4  Hyô-jô:  B3 E3 F#3 A3 B3 C#4/D4 E4 F#4 A4 B4 C#5/D5 E5 F#5  Taishiki-chô:  B3 E3 F#3 G#3 B3 C#4 E4 F#4 G#4 B4 C#4 E4 F#4  Banskiki-chô:  F#3 B3 C#3 E3 F#3 G#3/A3 B3 C#4 E4 F#4 G#4/A4 B4 C#5  Sôjô:  G3 G3 D3 E3 G3 A3 B3 D4 E4 G4 A4 B4 D5,"箏, 琴",Japan,"Tuning depends on the piece being played. A4 is closer to 430 Hz than to the western standard (440 Hz), and intervals are in just intonation and not equal temperament. In some tunings alternate choices are available for strings 6 and 11 (indicated with a slash); whatever note is chosen these strings are always tuned one octave apart.",,
189,Kwitra,8 strings 4 courses,GG • EE • AA • DD,"Kuitra, Kouitra, Quwaytara",Algeria,,,
190,Laouto,8 strings 4 courses,Standard/Common: C2 C3•G2 G3•D2 D3•A3 A3 Alternate:  Cretan: G2 G3•D2 D3•A2 A3•E3 E3,Laghouto,Greece,"Standard a.k.a. ""Mainland""",,C2:C3:G2:G3:D2:D3:A3:A3
191,Laúd,12 strings 6 courses,Standard/Common: G#2 G#2•C#3 C#3•F#3 F#3•B3 B3•E4 E4•A4 A4 Alternates:  Cuban:  D2 D2•A2 A2•E3 E3•B3 B3•F#4 F#4•C#5 C#5  Alt. Cuban:  D2 D2•A2 A2•E3 E3•B3 B3•F#4 F#4•D5 D5,Spanish laud,Spain,Standard AKA Spanish Tuning; one octave lower than the Spanish Bandurria,,
192,"Laúd, Cuban",12 strings 6 courses,D3 D3•F#3 F#3•B3 B3•E4 E4•A4 A4•D5 D5,Laud Cubano,Cuba,,,D3:D3:B3:B3:E4:E4:A4:A4:D5:D5
193,"Laúd, Philippine",14 strings 6 courses,F#2•B2 B2•E3 E3•A3 A3 A3•D4 D4 D4•G4 G4 G4,Laud,Philippines,Same tuning as the Octavina,,B2:B2:E3:E3:A3:A3:A3:D4:D4:D4:G4:G4:G4
194,Lili'u,8 strings 4 courses,G3 G4 • C3 C4 • E4 E4 • A4 A4,"Li'liu, Taropatch, Tenor Ukulele",Hawaii,Double-strung tenor ukulele.,,G3:G4:C3:C4:E4:E4:A4:A4
195,Liuqin,4 strings 4 courses,G3 • D4 • G4 • D5 Alternate  G3 • D4 • A4 • E5,"liuyeqin, willow leaf instrument",China,,,
196,Liuto cantabile,10 strings 5 courses,C2 C2•G2 G2•D3 D3•A3 A3•E4 E4,Liuto moderno,"Naples, Italy",Some courses are occasionally single-strung,,C2:C2:G2:G2:D3:D3:A3:A3:E4:E4
197,Luc huyen cam,5 strings 5 courses,"Standard/Common: C3 • F3 • C4 • G4 • C5 Alternate:  Hu ai Cam: G2 • D3 • G3 • B4 • D5  (a.k.a. ""slide guitar tuning"")","Đàn Ghita, Ghita, Phím Lõm, Vietnamese guitar",Vietnam,"Originally a 4- or 5-string instrument; today often nearly identical to a 6-string western guitar, except for having a scalloped fingerboard and one less string. (See below.)",,C3:F3:C4:G4:C5
198,Luc huyen cam,6 strings 6 courses,Standard/Common: E2 • A2 • D3 • G3 • B4 • E4 Alternates:  Day Rach-Gia: E2 • A2 • D3 • G3 • D4 • G4 Day Lai: D2 • A2 • D3 • G3 • D4 • G4 Day Sai Gon: D2 • G2 • D3 • G3 • D4 • G4,"Đàn Ghita, Ghita, Phím Lõm, Vietnamese guitar",Vietnam,"""Standard"" identical with the common western guitar. Day Lai a.k.a. ""aculturated tuning"" Day Sai Gon a.k.a. ""Saigon Tuning""",,E2:A2:D3:G3:B4:E4
199,Lute,[ * ],Medieval 12 string/6 course:  G2 G2 • C3 C3 • F3 F3 • A3 A3 • D4 D4 • G4 G4  Medieval 13 string/7 course:  D2 D3•G2 G3•C3 C4•F3 F3•A3 A3•D4 D4•G4  Renaissance 15 string/8 course  D2 D3•F2 F3•G2 G3•C3 C4•F3 F3•A3 A3•D4 D4•G4  Renaissance 19 string/10 course  C2 C3•D2 D3•E♭2 E♭3•F2 F3•G2 G3•C3 C4•F3 F3•A3 A3•D4 D4•G4  Baroque 24 string/13 course  A1 A2•B1 B2•C2 C3•D2 D3•E2 E3•F2 F3•G2 G3•A2 A2•D3 D3•F3 F3•A3 A3•d4•f4,,Europe,"[ * ] The number of strings and courses on a lute can vary widely depending on period and geographical region. Among the more common forms are 6, 7, 8, 10, and 13 courses. (Pictured: 8 course Renaissance Lute.)",,G2:G2:C3:C3:F3:F3:A3:A3:D4:D4:G4:G4
200,Cretan lyra,3 strings 3 courses,D3 • A3 • E5,,"Crete, Greece",,,D3:A3:E5
201,Mandobass,4 strings 4 courses,Standard/Common: E1 A1 D2 G2 Alternate: G1 D2 A2 E3,Bass Mandolin,Europe,The alternate tuning (2 octaves below the mandolin) is usually applied to a smaller-scale instrument (see Mandobass).,,E1:A1:D2:G2
202,Mandobass,8 strings 4 courses,"Standard/Common: G1 G1•D2 D2•A2 A2•E3 E3 Alternate:  ""Mandola"": C1 C1•G1 G1•D2 D2•A2 A2",Tremolo-bass,Europe,Relatively rare; larger than the standard mandobass. Standard tuning is 2 octaves below the mandolin.,,G1:G1:D2:D2:A2:A2:E3:E3
203,Mandocello,8 strings 4 courses,C2 C2•G2 G2•D3 D3•A3 A3,"mandolincello, mandoloncello",,Standard tuning is 1 octave below the mandola.,,C2:C2:G2:G2:D3:D3:A3:A3
204,Mandola,8 strings 4 courses,C3 C3•G3 G3•D4 D4•A4 A4,Tenor mandola (Europe),,A 5th below mandolin tuning.,,C3:C3:G3:G3:D4:D4:A4:A4
205,Mandolin,8 strings 4 courses,G3 G3•D4 D4•A4 A4•E5 E5,Mando,,Standard instrument of the mandolin family.,,G3:G3:D4:D4:A4:A4:E5:E5
206,Mandolinetto,8 strings 4 courses,G3 G3•D4 D4•A4 A4•E5 E5,,USA and Canada,"A guitar-shaped mandolin, or mandolin neck on ukulele body.",,G3:G3:D4:D4:A4:A4:E5:E5
207,"Mandolin, Octave",8 strings 4 courses,Standard/Common: G2 G2•D3 D3•A3 A3•E4 E4 Alternate:  Irish Bouzouki:  G2 G2•D3 D3•A3 A3•D4 D4,"Tenor Mandolin, Irish Bouzouki, Octave mandola (Europe)",,Pitched 1 octave below the mandolin.,,G2:G2:D3:D3:A3:A3:E4:E4
208,"Mandolin, Piccolo",8 strings 4 courses,C4 C4•G4 G4•D5 D5•A5 A5,Brilliant tone mandolin,,Tuned a 4th above the mandolin; 1 octave above the mandola.,,C4:C4:G4:G4:D5:D5:A5:A5
209,Mandriola,12 strings 4 courses,G3 G3 G3•D4 D4 D4•A4 A4 A4•E5 E5 E5,Tricordia,Europe,Tricordia is also a similar instrument tuned differently; both instruments are known by both names. (see Trichordia),,G3:G3:G3:D4:D4:D4:A4:A4:A4:E5:E5:E5
210,Manguerito,7 strings 5 courses,D4•G4•B4 B3•E4•B4 B4,,"La Paz, Bolivia",,,D4:G4:B4:B3:E4:B4:B4
211,Mejorana,5 strings 5 courses,"""Por veinticinco"":  D4•A4•A3•B3•E4  ""Por seis"":  D4•G4•G3•B3•E4","Mejorana, Rumbo",Panama,"Either tuning may be considered ""standard.""",,
212,Nevoud,11 strings 6 courses,C#2•F#2 F#2•B2 B2•E3 E3•A3 A3•D4 D4,"Nevud, New Oud",Turkey,,,B2:B2:E3:E3:A3:A3:D4:D4
213,Nigenkin,2 strings 2 courses,No standard [*],Yakumogoto,Japan,"[*] Strings are tuned in unison, to any pitch convenient for vocalist.",,
214,Nyckelharpa,4 strings 4 courses + 12 resonating strings,C3 • G3 • C4 • A4 res.strings: G#3 A3 Bb3 B3 C4 C#4 D4 Eb4 E4 F4 F#4 G4,"Key-harp, Chromatic Nyckelharpa",Sweden,Number of sympathetic strings may vary.,,
215,"Nyckelharpa, Tenor",4 strings 4 courses + 12 resonating strings,G2 • D3 • G3 • E4 res.strings: G#2 A2 Bb2 B2 C3 C#3 D3 Eb3 E3 F3 F#3 G3,,Sweden,This instrument is of very recent invention.,,
216,Octavina,14 strings 6 courses,F#1•B1 B1•E2 E2•A2 A2 A2•D3 D3 D3•G3 G3 G3,Philippine Laúd,Philippines,One octave lower than the Philippine Bandurria,,B1:B1:E2:E2:A2:A2:A2:D3:D3:D3:G3:G3:G3
217,Octobass,3 strings 3 courses,Berlioz/Musée de la Musique: C1 G1 C2  Musical Instrument Museum: C0 G0 D1 Montreal Symphony Orchestra: A0 E1 B1,"Subcontrabass, triple bass",France,Extremely rare. Extant instruments tuned variously.,,C1:G1:C2
218,Octofone,8 strings 4 courses,* C2 C2•G2 G2•D3 D3•A3 A3  G2 G2•D3 D3•A3 A3•E4 E4 D2 D2•G2 G2•B2 B2•E3 E3,,USA,"Any of the tunings may be considered ""standard"".",,
219,Oud,11 strings 6 courses,Standard/Common:  C2 F2 A2 D3 G3 C4  Alt. Arabic:  F2 A2 D3 G3 C4 F4  Alternate bass:  D2 G2 A2 D3 G3 C4  Turkish/Armenian:  E2 A2 B2 E3 A3 D4  New Turkish Classical:  C#2 F#2 B2 E3 A3 D4  Alt. New Turkish Classical:  D2 F#2 B2 E3 A3 D4,"Ud, Al-Ud, Oud Arbi",Middle East,"Standard AKA ""Arabic tuning""; notated a 4th higher in ME notation; one octave higher in western notation.",,C2:F2:A2:D3:G3:C4
220,Palida,4 strings 4 courses,D3 • A3 • E4 • B4,,Europe,,,D3:A3:E4:B4
221,Panduri,3 strings 3 courses,Standard/Common: G3 • A3 • C4 Alternate:  E3 • B3 • A4,Phanduri,Georgia (Asia),,,G3:A3:C4
222,Pardessus de Viole,5 strings 5 courses,Standard: C4 • E4 • A4 • D5 • G5,Soprano Viol,Europe,A member of the viol family. A rare 6-string version adds a G3 below the low C string.,,C4:E4:A4:D5
